DL119,cust59,2016-08-05
SW103,cust116,2016-08-04
UA105,cust19,2016-08-08
SW102,cust11,2016-08-01
UA101,cust68,2016-08-06
UA101,cust64,2016-08-02
UA101,cust52,2016-08-08
SW102,cust62,2016-08-01
SW107,cust20,2016-08-04
SW103,cust97,2016-08-08
SW137,cust98,2016-08-06
UA101,cust71,2016-08-09
UA101,cust30,2016-08-07
UA101,cust7,2016-08-05
UA101,cust44,2016-08-04
UA101,cust33,2016-08-07
AA113,cust65,2016-08-02
SW106,cust34,2016-08-02
SW107,cust55,2016-08-09
SW104,cust1,2016-08-03
AA114,cust26,2016-08-08
UA101,cust31,2016-08-08
SW102,cust3,2016-08-08
SW137,cust17,2016-08-04
SW106,cust7,2016-08-08
UA101,cust50,2016-08-08
AA114,cust44,2016-08-08
SW132,cust8,2016-08-05
SW104,cust79,2016-08-03
UA101,cust73,2016-08-03
UA101,cust29,2016-08-04
UA105,cust22,2016-08-02
UA105,cust2,2016-08-03
SW132,cust110,2016-08-05
SW103,cust37,2016-08-05
SW106,cust75,2016-08-02
AA109,cust17,2016-08-08
UA101,cust90,2016-08-04
SW102,cust21,2016-08-04
SW103,cust114,2016-08-05
SW104,cust26,2016-08-03
UA101,cust32,2016-08-04
SW125,cust73,2016-08-09
UA101,cust0,2016-08-03
AA113,cust37,2016-08-09
UA135,cust0,2016-08-01
SW129,cust23,2016-08-06
SW118,cust87,2016-08-05
UA101,cust2,2016-08-01
UA101,cust101,2016-08-04
SW104,cust77,2016-08-08
UA105,cust0,2016-08-04
SW107,cust115,2016-08-05
UA101,cust18,2016-08-02
UA101,cust3,2016-08-04
UA101,cust107,2016-08-05
SW103,cust90,2016-08-01
UA101,cust70,2016-08-07
AA114,cust11,2016-08-03
UA101,cust104,2016-08-05
SW104,cust0,2016-08-05
SW132,cust57,2016-08-05
AA109,cust81,2016-08-08
UA101,cust40,2016-08-01
UA101,cust19,2016-08-01
AA114,cust57,2016-08-06
SW129,cust118,2016-08-06
UA101,cust21,2016-08-06
SW108,cust0,2016-08-02
SW118,cust113,2016-08-02
UA101,cust10,2016-08-02
DL121,cust40,2016-08-05
SW107,cust25,2016-08-06
UA101,cust22,2016-08-09
SW122,cust13,2016-08-08
SW120,cust116,2016-08-07
UA101,cust78,2016-08-06
UA101,cust111,2016-08-09
SW129,cust12,2016-08-07
SW126,cust26,2016-08-06
DL134,cust115,2016-08-06
UA117,cust36,2016-08-06
SW102,cust13,2016-08-04
SW124,cust119,2016-08-07
AA114,cust79,2016-08-01
UA101,cust60,2016-08-06
AA114,cust78,2016-08-09
SW104,cust127,2016-08-03
SW132,cust32,2016-08-06
AA127,cust49,2016-08-02
UA105,cust14,2016-08-04
SW112,cust0,2016-08-08
SW103,cust106,2016-08-07
UA101,cust62,2016-08-03
UA105,cust23,2016-08-03
SW123,cust32,2016-08-07
UA101,cust124,2016-08-01
SW122,cust93,2016-08-09
UA138,cust0,2016-08-07
UA101,cust45,2016-08-04
SW102,cust5,2016-08-06
UA101,cust30,2016-08-09
UA105,cust9,2016-08-01
UA101,cust93,2016-08-02
AA113,cust31,2016-08-03
UA101,cust14,2016-08-08
SW112,cust39,2016-08-07
SW102,cust44,2016-08-07
UA101,cust113,2016-08-04
SW103,cust83,2016-08-04
UA101,cust118,2016-08-04
SW103,cust71,2016-08-03
UA105,cust72,2016-08-09
SW126,cust40,2016-08-03
UA101,cust112,2016-08-07
UA101,cust87,2016-08-07
SW111,cust45,2016-08-09
UA101,cust2,2016-08-09
SW111,cust120,2016-08-04
UA101,cust98,2016-08-02
SW125,cust111,2016-08-02
SW106,cust26,2016-08-05
UA101,cust48,2016-08-08
SW123,cust88,2016-08-01
UA117,cust9,2016-08-09
SW110,cust56,2016-08-03
DL140,cust89,2016-08-01
AA109,cust0,2016-08-09
DL140,cust5,2016-08-05
UA101,cust28,2016-08-07
AA130,cust79,2016-08-08
SW104,cust83,2016-08-02
UA101,cust2,2016-08-02
UA101,cust102,2016-08-04
UA117,cust98,2016-08-04
SW106,cust86,2016-08-07
AA109,cust30,2016-08-03
SW102,cust1,2016-08-01
SW103,cust6,2016-08-05
SW102,cust6,2016-08-06
SW123,cust60,2016-08-07
UA101,cust36,2016-08-09
SW112,cust12,2016-08-01
UA101,cust100,2016-08-07
UA101,cust69,2016-08-02
UA101,cust15,2016-08-05
AA109,cust49,2016-08-01
SW120,cust22,2016-08-01
UA135,cust13,2016-08-01
SW123,cust6,2016-08-09
DL134,cust21,2016-08-08
AA130,cust24,2016-08-05
SW123,cust103,2016-08-08
UA101,cust68,2016-08-09
SW111,cust65,2016-08-04
SW112,cust56,2016-08-02
SW103,cust9,2016-08-03
UA101,cust96,2016-08-05
SW107,cust111,2016-08-06
SW102,cust35,2016-08-02
SW102,cust104,2016-08-02
