(128, 1)
(1, 1)
(3, 2)
(4, 1)
(5, 1)
(6, 3)
(7, 4)
(8, 5)
(9, 13)
(10, 12)
(11, 15)
(12, 12)
(13, 14)
(14, 14)
(15, 12)
(16, 12)
(17, 14)
(18, 12)
(19, 6)
(20, 10)
(21, 10)
(22, 12)
(23, 6)
(24, 8)
(25, 4)
(26, 3)
(27, 4)
(28, 2)
(29, 2)
(30, 1)
(31, 6)
(32, 2)
(33, 1)
(35, 3)
(36, 2)
(37, 4)
(38, 3)
(167, 1)
(40, 1)
(41, 2)
(43, 1)
(44, 2)
(173, 1)
(46, 2)
(48, 3)
(49, 1)
(50, 3)
(51, 2)
(155, 1)
(54, 1)
(300, 3)
(57, 1)
(60, 1)
(63, 2)
(64, 1)
(66, 2)
(70, 1)
(200, 1)
(73, 1)
(76, 1)
(45, 2)
(206, 1)
(79, 1)
(82, 1)
(89, 1)
(91, 1)
(99, 1)
(101, 1)
(102, 1)
(107, 1)
(109, 1)
(113, 1)
(114, 1)
(122, 1)
(252, 1)
(125, 2)
(39, 1)
